0,0, 0, 0, 0,0, 0, 0, 0,0, 0, 0, 0,0, 0
0.01,0.01, 0, 0.001, 1,0.0151121, 0, 0.000773274, 1.51121,-0.237698, -0.182572, -0.000886316, 1.50891,-0.239996, -0.184231
0.02,0.02, 1e-05, 0.002, 1,0.016053, 7.27567e-07, 0.00275401, 0.0940892,0.0136431, -0.144012, 0.00816976, 0.139767,0.0363836, -0.14051
0.03,0.03, 3e-05, 0.003, 1,0.023723, 2.18509e-05, 0.00386047, 0.767004,0.111419, 0.18714, 0.104735, 0.793774,0.119648, 0.217376
0.04,0.0399999, 5.99999e-05, 0.004, 1,0.0247922, 2.59786e-05, 0.00502332, 0.106923,0.197708, -0.197549, -0.0458907, 0.125112,0.205483, -0.232654
0.05,0.0499998, 9.99998e-05, 0.005, 1,0.0324605, 6.44989e-05, 0.00364827, 0.766831,0.141404, -0.242029, -0.069792, 0.736588,0.135575, -0.246051
0.06,0.0599997, 0.00015, 0.006, 1,0.0442399, 0.000107474, 0.0070084, 1.17795,0.0299578, 0.0654687, 0.107788, 1.09431,0.0187427, 0.0935364
0.07,0.0699995, 0.000209999, 0.007, 1,0.0460792, 0.000120364, 0.00885236, 0.18393,0.225469, 0.0180084, 0.0650576, 0.311333,0.243083, 0.0136744
0.08,0.0799993, 0.000279999, 0.008, 1,0.0642849, 0.000281532, 0.01129, 1.82064,0.0551245, 0.0940727, 0.134884, 1.67947,0.037999, 0.100875
0.09,0.089999, 0.000359998, 0.009, 1,0.0790056, 0.000447736, 0.0113482, 1.47216,-0.0205802, -0.19912, -0.107689, 1.36185,-0.0287745, -0.225908
0.1,0.0999986, 0.000449997, 0.01, 1,0.098825, 0.000672661, 0.0116098, 1.98207,0.152419, 0.101231, 0.192615, 2.10161,0.166318, 0.128655
0.11,0.109998, 0.000549995, 0.011, 1,0.113277, 0.000840456, 0.013999, 1.44532,-0.00127594, 0.230378, 0.354316, 1.29568,-0.0164825, 0.241825
0.12,0.119997, 0.000659993, 0.012, 1,0.125909, 0.0010173, 0.0171084, 1.26327,0.18039, -0.175842, -0.143353, 1.28921,0.195757, -0.212997
0.13,0.129997, 0.00077999, 0.013, 1,0.141236, 0.00127955, 0.0179863, 1.53299,0.0312124, -0.0432055, -0.00211952, 1.31867,0.0163517, -0.0310143
0.14,0.139996, 0.000909986, 0.014, 1,0.148421, 0.00140878, 0.0171577, 0.71853,0.0113281, -0.105969, -0.0846629, 0.684262,0.00888312, -0.111637
0.15,0.149995, 0.00104998, 0.015, 1,0.166602, 0.00172077, 0.0157483, 1.81842,0.133834, 0.174436, 0.312596, 1.93121,0.143254, 0.199878
0.16,0.159994, 0.00119998, 0.016, 1,0.176927, 0.00188337, 0.015756, 1.03258,0.344234, 0.0178665, 0.00928872, 1.24714,0.36232, 0.00346142
0.17,0.169993, 0.00135997, 0.017, 1,0.182249, 0.00196724, 0.0145119, 0.532289,0.408044, -3.44872e-05, -0.0220944, 0.620794,0.413314, -0.00165169
0.18,0.179991, 0.00152996, 0.018, 1,0.192262, 0.00211256, 0.0148767, 1.00141,0.405044, -0.194143, -0.333419, 0.986117,0.403873, -0.211596
0.19,0.189989, 0.00170995, 0.019, 1,0.202856, 0.00227017, 0.0156817, 1.05949,0.106303, 0.175094, 0.104081, 0.378412,0.0785304, 0.208619
0.2,0.199988, 0.00189994, 0.02, 1,0.218084, 0.002509, 0.0181633, 1.52303,0.395815, -0.190089, -0.562691, 1.95206,0.420478, -0.223058
0.21,0.209986, 0.00209993, 0.021, 1,0.218401, 0.00251476, 0.0201966, 0.0317354,0.375724, -0.185633, -0.571392, -0.0040015,0.373894, -0.185217
0.22,0.219983, 0.00230991, 0.022, 1,0.233123, 0.00281213, 0.0224326, 1.47245,0.40279, 0.0456141, -0.175958, 1.25473,0.404107, 0.0670816
0.23,0.229981, 0.00252989, 0.023, 1,0.237786, 0.00291674, 0.0223706, 0.46639,0.473756, 0.184303, 0.113557, 0.536525,0.47971, 0.196816
0.24,0.239978, 0.00275987, 0.024, 1,0.249605, 0.00318119, 0.0252677, 1.18223,0.191811, 0.0238948, -0.152578, 0.571489,0.165486, 0.00939672
0.25,0.249975, 0.00299985, 0.025, 1,0.25499, 0.00331728, 0.0258038, 0.538635,0.205286, 0.161368, 0.131217, 0.517449,0.206016, 0.173755
0.26,0.259972, 0.00324982, 0.026, 1,0.260732, 0.00346548, 0.02504, 0.574425,0.273067, 0.00157972, -0.219657, 0.667093,0.278624, -0.0127915
0.27,0.269969, 0.00350979, 0.027, 1,0.276775, 0.00386729, 0.0234797, 1.60481,0.112589, 0.0359492, -0.214196, 1.21697,0.096829, 0.0393372
0.28,0.279965, 0.00377976, 0.028, 1,0.295877, 0.00431588, 0.0258411, 1.91072,0.283573, 0.00538897, -0.198062, 2.25226,0.29719, 0.00301982
0.29,0.289961, 0.00405973, 0.029, 1,0.30837, 0.00463878, 0.0287165, 1.2497,0.315496, 0.18331, 0.213032, 1.21261,0.317253, 0.199428
0.3,0.299957, 0.00434968, 0.03, 1,0.322658, 0.0050492, 0.0276901, 1.42942,0.146213, -0.112571, -0.386153, 0.893462,0.129841, -0.139275
0.31,0.309953, 0.00464964, 0.031, 1,0.322718, 0.00505086, 0.0282202, 0.0059992,0.108795, -0.108428, -0.405746, -0.0791748,0.105448, -0.108056
0.32,0.319948, 0.00495959, 0.032, 1,0.341468, 0.00558014, 0.0277941, 1.87579,0.0868795, 0.0913797, 0.0129679, 1.59669,0.0833861, 0.109869
0.33,0.329943, 0.00527954, 0.033, 1,0.359201, 0.00607314, 0.0296279, 1.77398,0.165003, -0.0714069, -0.375956, 1.9275,0.170391, -0.0859507
0.34,0.339937, 0.00560948, 0.034, 1,0.366914, 0.00630172, 0.0300122, 0.771629,0.165684, 0.0823215, -0.0195992, 0.625583,0.165105, 0.0962826
0.35,0.349932, 0.00594941, 0.035, 1,0.378653, 0.00665413, 0.0329071, 1.17437,0.335695, -0.14963, -0.575825, 1.59487,0.349802, -0.170284
0.36,0.359925, 0.00629934, 0.036, 1,0.38977, 0.00702008, 0.0319778, 1.11229,0.400073, 0.202113, 0.267085, 0.773213,0.40498, 0.234004
0.37,0.369919, 0.00665926, 0.037, 1,0.392605, 0.00711077, 0.0333337, 0.28364,0.594482, -0.0191615, -0.37713, 0.639606,0.611572, -0.0389574
0.38,0.379912, 0.00702918, 0.038, 1,0.40188, 0.00742007, 0.0368619, 0.928061,0.28437, -0.000665669, -0.58798, 0.135798,0.255975, 0.00128645
0.39,0.389905, 0.00740908, 0.039, 1,0.408261, 0.00765538, 0.0385707, 0.638499,0.210011, -0.131393, -0.980213, 0.641722,0.20292, -0.142712
0.4,0.399897, 0.00779899, 0.04, 1,0.420684, 0.0081348, 0.0412325, 1.24327,0.213554, 0.0650277, -0.665739, 0.794034,0.213253, 0.0834259
